ID;Nom;Prix (€);Qté;CA (€);Z-score
6227;Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017;40,2;1,0;40,2;0,27761799628311634
5799;Château Carbonnieux Graves Blanc 2017;40,2;0,0;0,0;0,27761799628311634
6578;Saumaize-Michelin Pouilly-Fuissé Ampélopsis 2016;40,0;7,0;280,0;0,2704329573578485
4212;Lucien Boillot Volnay 2017;39,8;2,0;79,6;0,26324791843258066
4628;Marcel Windholtz Eau de Vie de Marc de Muscat;39,6;0,0;0,0;0,25606287950731305
6109;Gilles Robin Saint-Joseph Rouge André Péalat 2010;39,2;1,0;39,2;0,24169280165677756
4299;Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018;39,1;0,0;0,0;0,23810028219414361
4141;Champagne Gosset Grande Réserve;39,0;40,0;1560,0;0,2345077627315097
5398;Chili Montsecano (Ostertag) Pinot Noir 2013;39,0;1,0;39,0;0,2345077627315097
4357;Champagne Larmandier-Bernier Latitude;39,0;0,0;0,0;0,2345077627315097
4081;Le Vieux Donjon Châteauneuf-du-Pape 2016;39,0;4,0;156,0;0,2345077627315097
5609;Domaine Weinbach Riesling Cuvée Colette 2018;38,6;2,0;77,2;0,22013768488097424
5520;Domaine Chambeyron Côte Rôtie La Chavarine 2017;38,6;2,0;77,2;0,22013768488097424
5524;Domaine Chambeyron Condrieu Vernon 2018;38,6;1,0;38,6;0,22013768488097424
4287;Domaine Hauvette Les Baux de Provence Cornaline 2014;38,6;1,0;38,6;0,22013768488097424
6050;Christophe Pichon Condrieu 2017;38,5;0,0;0,0;0,2165451654183403
5771;Camille Giroud Santenay Rouge 1er Cru Clos Rousseau 2016;38,4;0,0;0,0;0,21295264595570637
5616;"Albert Boxler Pinot Noir ""S"" 2016";38,4;2,0;76,8;0,21295264595570637
4202;Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert Blanc 2019;38,0;0,0;0,0;0,1985825681051709
5554;Thierry Germain Saumur-Champigny Clos de l'Echelier 2017;38,0;0,0;0,0;0,1985825681051709
4201;Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert 2018;38,0;0,0;0,0;0,1985825681051709
6629;Weingut Besson-Strasser Zürich Pinot Noir Cholfirst 2017;37,7;1,0;37,7;0,18780500971726935
